Task,Group_Name,Status,Depends_on,Priority,Note
 Get the AI 102 certificate before EoY,BH&Cap,New,,,
" With DeepSeek - build estimation tools for cloud platform and data platform effort by spliting activities in phases, each activity will be consisted of tasks, each task will be categorized by complexity small, medium, large, extra large (we will take azure cloud and azure services and ETL processes as examples), then each complexity has its own duration in hours and which type of profile works on that task and what are the skills that person should have to deploy this in DEV in DevOps manner with terraform pipelines and at the end a sum of the effort for DEV environment and then multiplied for the Test, UAT and Prod environments.  This will be for green field approach but we can pick and choose the phases and the activities per the need of the client to be more precise with the estimates",BH&Cap,New,,,
" With DeepSeek - develop/improve the TOGAF blueprint for architecture design to be more structured, add example content and some hard coded content that is the same for each client in financial and insurance sectors",BH&Cap,New,,,
" With DeepSeek - Work on an accelerator that you had in mind while working with Argenta (Togaf framework, questionaires for analysis of a Data management system both onpremise (Oracle, DB2, IBM) and cloud (AWS, GCP, OCI, Azure, Databricks), parsing and translating SQL scripts using python, structure and automate documentation writing that explains what the code is doing and what is the purpose of it) - Start preparing your TOGAF structured document because you need to exercise this again, use the information that you know from the available documents - Reflect what happened over the past 3 months so that you have a structure for the next RFP and have your own accelerators (based on Argenta) - Napraj template za RFP prezentacija so bh sto imaat koristeno do sega i da se aftomatizirat generaation of slides so genai",BH&Cap,New,,,
" With DeepSeek - store in Github terraform scripts for setting up cloud platform and data platform (ADF, Synapse, Databricks, ADLS, CosmosDB, Deltalake and other important services that deepseek should share) and also make the CICD workflows in github actions for automatic deployment",BH&Cap,New,,,
" Za da iskoristis PFP: uste eden monitor sto ke go expensnis i ke go vratis (Mediamarkt, Krefel), slusalki sto ke gi expensnis i ke gi vratis (Mediamarkt, Krefel), printer sto ke go expensnis i vratis (Mediamarkt, Krefel), glusec i tastatura sto ke expensnis i vratis (Mediamarkt, Krefel, lokalni prodavnici",BH&Cap,New,,,
 Conclude CV vetting when not using Recruitee - maybe use Teams team where CVs will be uploaded to be validated and removed when validated,BH&Cap,New,,,
 Document how is New Joniers meeting organized and done,BH&Cap,New,,,
 Conclude shift rotations list and interview availabilitya,BH&Cap,New,,,
 Recruitment AP - replace recruitee with GetTalent to not pay for it (mix between both),BH&Cap,New,,,
" Recruitment AP - reachout to Cloud community lead for improving their exercises - Tapas i Umut, Mohamed",BH&Cap,New,,,
 Recruitment - Common platform where the recruiters can collaborate and align on interview organizing,BH&Cap,New,,,
" The recruiters provide information about how many candidates we have in the pipeline for each position, how many interviews have been done over the last week, how many new hires do we have, what is the pipeline status for each stage",BH&Cap,New,,,
 Recruitment - Update the job descriptions,BH&Cap,New,,,
 Workshop recruitment - explain the whole recruitment process to the BH organization to cover the interview process from start to end so that it everyone knows what we do during the recruitment and explain the roles of the interviewers the chairs and the types of interview,BH&Cap,New,,,
 Workshop recruitment - how to be a good interviewer for 1st and 2nd chair (the responsibilities of each person) - https://www.mentimeter.com/app/presentation/algcgx23vh936i7ac6ptmjsxhsq44to7/edit?question=2d96oijep7n6 ,BH&Cap,New,,,
 Recruitment AP - What are the gaps that interviewers have and how do we setup knowledge sharing and L&D sessions to overcome the knowledge barrier?,BH&Cap,New,,,
" Recruitment AP - role play interviews to teach and improve the process (Tom is working on changing the strategy of BH for 2026 so I need to see what is his plan there and how it impacts me, he wants to see how to decide which people should be for BH and which for C&CA and FS/CAP)",BH&Cap,New,,,
